timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
458981016,458980835,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
459078647,459078484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
459181290,459181141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
459281449,459281295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
459379127,459378944,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
459481764,459481602,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
459579405,459579251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
459682067,459681908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
459779708,459779558,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
459879872,459879711,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
459982518,459982368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
460080177,460080018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
460182827,460182676,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
460280627,460280325,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
460380634,460380478,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
460478418,460478128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
460580934,460580785,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
460681154,460680938,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
460781258,460781092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
460881417,460881245,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
460979047,460978895,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
461081709,461081552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
461179377,461179202,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
461279505,461279355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
461382187,461382012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
