timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
451975904,1,0,1,0,0,0,0
452483627,1,0,1,0,0,0,0
452989618,1,0,1,0,0,0,0
453495753,1,0,1,0,0,0,0
454001616,1,0,1,0,0,0,0
454508616,1,0,1,0,0,0,0
455014616,1,0,1,0,0,0,0
455520989,1,0,1,0,0,0,0
456027326,1,0,1,0,0,0,0
456532618,1,0,1,0,0,0,0
457038616,1,0,1,0,0,0,0
457534063,1,0,1,0,0,0,0
457577785,1,0,1,0,0,0,0
458083621,1,0,1,0,0,0,0
458589634,1,0,1,0,0,0,0
459095621,1,0,1,0,0,0,0
459601621,1,0,1,0,0,0,0
460108643,1,0,1,0,0,0,0
460614621,1,0,1,0,0,0,0
461120619,1,0,1,0,0,0,0
461626622,1,0,1,0,0,0,0
462133621,1,0,1,0,0,0,0
462639624,1,0,1,0,0,0,0
463145623,1,0,1,0,0,0,0
463652621,1,0,1,0,0,0,0
464158620,1,0,1,0,0,0,0
464664874,1,0,1,0,0,0,0
465171238,1,0,1,0,0,0,0
465676621,1,0,1,0,0,0,0
466182640,1,0,1,0,0,0,0
466688620,1,0,1,0,0,0,0
467194621,1,0,1,0,0,0,0
467700621,1,0,1,0,0,0,0
468206621,1,0,1,0,0,0,0
468283758,1,0,1,0,0,0,0
468789630,1,0,1,0,0,0,0
469296619,1,0,1,0,0,0,0
469802617,1,0,1,0,0,0,0
470308912,1,0,1,0,0,0,0
470814781,1,0,1,0,0,0,0
471320617,1,0,1,0,0,0,0
471827292,1,0,1,0,0,0,0
472332616,1,0,1,0,0,0,0
472838632,1,0,1,0,0,0,0
473344944,1,0,1,0,0,0,0
473850617,1,0,1,0,0,0,0
474356618,1,0,1,0,0,0,0
474863617,1,0,1,0,0,0,0
475369668,1,0,1,0,0,0,0
475392176,0,0,0,0,1,0,0
475655752,0,0,0,0,0,0,0
475724486,0,0,1,0,0,0,0
476231651,0,0,1,0,0,0,0
